source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,SPSA,500,500,51,0.102,1.0,2026-04-19 15:05:59
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,SPSA,500,500,419,0.838,1.0,2026-04-19 15:06:00
densenet121_adv_preattacked_20260415,vgg16_advanced,SPSA,500,500,63,0.126,1.0,2026-04-19 15:06:02
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,TIFGSM,500,500,24,0.048,1.0,2026-04-19 15:11:09
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,TIFGSM,500,500,20,0.04,1.0,2026-04-19 15:11:10
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,TIFGSM,500,500,72,0.144,1.0,2026-04-19 15:11:10
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,TIFGSM,500,500,53,0.106,1.0,2026-04-19 15:11:12
densenet121_adv_preattacked_20260415,resnet18_advanced,TIFGSM,500,500,62,0.124,1.0,2026-04-19 15:11:13
densenet121_adv_preattacked_20260415,densenet121_advanced,TIFGSM,500,500,371,0.742,1.0,2026-04-19 15:11:14
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,TIFGSM,500,500,25,0.05,1.0,2026-04-19 15:11:14
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,TIFGSM,500,500,29,0.058,1.0,2026-04-19 15:11:15
densenet121_adv_preattacked_20260415,vgg16_advanced,TIFGSM,500,500,41,0.082,1.0,2026-04-19 15:11:17
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,TPGD,500,500,17,0.034,1.0,2026-04-19 15:19:24
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,TPGD,500,500,33,0.066,1.0,2026-04-19 15:19:24
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,TPGD,500,500,33,0.066,1.0,2026-04-19 15:19:25
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,TPGD,500,500,37,0.074,1.0,2026-04-19 15:19:27
